SNO,OPERATION,APPLICATION,DATE
31,Erased,cglib-2.2-18.1.amzn2.noarch,03292019
32,Erased,objectweb-asm-3.3.1-9.amzn2.noarch,03292019
33,Erased,plexus-classworlds-2.4.2-8.amzn2.noarch,03292019
34,Erased,aether-api-1.13.1-13.amzn2.noarch,03292019
35,Erased,jboss-servlet-3.0-api-1.0.1-9.amzn2.noarch,03292019
36,Erased,plexus-utils-3.0.9-9.amzn2.noarch,03292019
37,Erased,plexus-cipher-1.7-5.amzn2.noarch,03292019
38,Erased,xml-commons-resolver-1.2-15.amzn2.noarch,03292019
39,Erased,xml-commons-apis-1.4.01-16.amzn2.noarch,03292019
40,Erased,bcel-5.2-18.amzn2.noarch,03292019
41,Erased,regexp-1.5-13.amzn2.noarch,03292019
42,Erased,javamail-1.4.6-8.amzn2.noarch,03292019
43,Erased,geronimo-jms-1.1.1-19.amzn2.noarch,03292019
44,Erased,apache-commons-codec-1.8-7.amzn2.noarch,03292019
45,Erased,easymock2-2.5.2-12.1.amzn2.noarch,03292019
46,Erased,jboss-transaction-1.1-api-1.0.1-8.amzn2.noarch,03292019
47,Erased,jline-1.0-8.amzn2.noarch,03292019
48,Erased,httpcomponents-core-4.2.4-6.amzn2.noarch,03292019
49,Erased,cal10n-0.7.7-4.amzn2.noarch,03292019
50,Erased,apache-commons-lang-2.6-15.amzn2.noarch,03292019
51,Erased,javassist-3.16.1-10.amzn2.noarch,03292019
52,Erased,felix-framework-4.2.1-5.amzn2.noarch,03292019
53,Erased,geronimo-annotation-1.0-15.amzn2.noarch,03292019
54,Erased,jboss-el-2.2-api-1.0.1-0.7.20120212git2fabd8.amzn2.noarch,03292019
55,Erased,jboss-interceptors-1.1-api-1.0.2-0.9.20120319git49a904.amzn2.noarch,03292019
56,Erased,aopalliance-1.0-8.1.amzn2.noarch,03292019
57,Erased,guava-13.0-6.amzn2.noarch,03292019
58,Erased,atinject-1-13.20100611svn86.amzn2.noarch,03292019
59,Erased,plexus-containers-component-annotations-1.5.5-14.amzn2.noarch,03292019
60,Erased,jsch-0.1.50-5.amzn2.noarch,03292019
61,Erased,jzlib-1.1.1-6.amzn2.noarch,03292019
